n,Serie_Armonica,Serie_Inversos_Cuadrados
174,5.7391417749,1.6392034235
176,5.7505378788,1.6392683596
178,5.7618055738,1.6393318406
180,5.7729477216,1.6393939148
182,5.7839670889,1.6394546285
184,5.7948663524,1.6395140259
186,5.8056481019,1.6395721494
188,5.8163148444,1.6396290395
190,5.8268690076,1.6396847351
192,5.8373129430,1.6397392733
194,5.8476489294,1.6397926900
196,5.8578791753,1.6398450193
198,5.8680058225,1.6398962941
200,5.8780309481,1.6399465460
202,5.8879565675,1.6399958053
204,5.8977846367,1.6400441010
206,5.9075170544,1.6400914613
208,5.9171556646,1.6401379130
210,5.9267022584,1.6401834820
212,5.9361585760,1.6402281932
214,5.9455263089,1.6402720706
216,5.9548071013,1.6403151374
219,5.9685687622,1.6403782661
222,5.9821436081,1.6404396924
225,5.9955366432,1.6404994843
228,6.0087526733,1.6405577062
231,6.0217963159,1.6406144191
234,6.0346720105,1.6406696810
237,6.0473840271,1.6407235468
240,6.0599364748,1.6407760687
243,6.0723333102,1.6408272964
246,6.0845783441,1.6408772773
249,6.0966752494,1.6409260562
252,6.1086275671,1.6409736760
255,6.1204387128,1.6410201775
258,6.1321119824,1.6410655997
261,6.1436505577,1.6411099797
264,6.1550575118,1.6411533530
267,6.1663358135,1.6411957534
270,6.1774883326,1.6412372134
273,6.1885178438,1.6412777638
276,6.1994270309,1.6413174343
279,6.2102184909,1.6413562531
282,6.2208947376,1.6413942475
285,6.2314582052,1.6414314435
288,6.2419112515,1.6414678658
292,6.2556808186,1.6415152668
296,6.2692633573,1.6415613888
300,6.2826638803,1.6416062829
304,6.2958872014,1.6416499976
308,6.3089379460,1.6416925786
312,6.3218205607,1.6417340696
316,6.3345393224,1.6417745118
320,6.3470983469,1.6418139446
324,6.3595015967,1.6418524052
328,6.3717528889,1.6418899292
332,6.3838559019,1.6419265503
336,6.3958141820,1.6419623008
340,6.4076311499,1.6419972114
344,6.4193101064,1.6420313113
348,6.4308542382,1.6420646284
352,6.4422666225,1.6420971893
356,6.4535502326,1.6421290196
360,6.4647079422,1.6421601435
365,6.4784822560,1.6421980904
370,6.4920694132,1.6422350132
375,6.5054744316,1.6422709526
380,6.5187021300,1.6423059475
385,6.5317571383,1.6423400346
390,6.5446439074,1.6423732488
395,6.5573667185,1.6424056232
400,6.5699296912,1.6424371892
405,6.5823367919,1.6424679769
410,6.5945918411,1.6424980145
415,6.6066985205,1.6425273291
420,6.6186603800,1.6425559467
425,6.6304808431,1.6425838917
430,6.6421632136,1.6426111875
435,6.6537106809,1.6426378566
441,6.6673938987,1.6426690622
447,6.6808924107,1.6426994309
453,6.6942111371,1.6427289961
459,6.7073548040,1.6427577891
465,6.7203279539,1.6427858400
471,6.7331349544,1.6428131769
477,6.7457800076,1.6428398268
483,6.7582671580,1.6428658153
489,6.7706003008,1.6428911666
495,6.7827831884,1.6429159041
501,6.7948194380,1.6429400496
507,6.8067125376,1.6429636241
514,6.8204113776,1.6429904329
521,6.8339250925,1.6430165219
528,6.8472586194,1.6430419198
535,6.8604167001,1.6430666538
542,6.8734038919,1.6430907494
549,6.8862245767,1.6431142311
556,6.8988829702,1.6431371221
563,6.9113831296,1.6431594444
570,6.9237289622,1.6431812189
577,6.9359242322,1.6432024655
585,6.9496819695,1.6432261253
593,6.9632529972,1.6432491473
601,6.9766423155,1.6432715568
609,6.9898547260,1.6432933781
617,7.0028948427,1.6433146340
625,7.0157671013,1.6433353462
633,7.0284757685,1.6433555352
641,7.0410249502,1.6433752207
649,7.0534185998,1.6433944213
658,7.0671802822,1.6434154643
667,7.0807551487,1.6434359398
676,7.0941482036,1.6434558705
685,7.1073642526,1.6434752779
694,7.1204079135,1.6434941823
703,7.1332836256,1.6435126030
712,7.1459956591,1.6435305583
721,7.1585481232,1.6435480657
731,7.1723129632,1.6435670131
741,7.1858909023,1.6435854494
751,7.1992869479,1.6436033951
761,7.2125059091,1.6436208694
771,7.2255524067,1.6436378907
781,7.2384308830,1.6436544765
791,7.2511456107,1.6436706431
802,7.2649475846,1.6436879611
813,7.2785616545,1.6437048107
824,7.2919928682,1.6437212107
835,7.3052460726,1.6437371789
846,7.3183259246,1.6437527321
857,7.3312369006,1.6437678862
868,7.3439833058,1.6437826565
880,7.3577056466,1.6437983486
892,7.3712422309,1.6438136188
904,7.3845980207,1.6438284838
916,7.3977777818,1.6438429595
928,7.4107860940,1.6438570610
940,7.4236273607,1.6438708027
953,7.4373551358,1.6438852992
966,7.4508970082,1.6438994058
979,7.4642579457,1.6439131379
992,7.4774427198,1.6439265103
1005,7.4904559153,1.6439395368
1018,7.5033019407,1.6439522309
1032,7.5169540288,1.6439655439
1046,7.5304222448,1.6439785007
1060,7.5437114760,1.6439911155
1074,7.5568264171,1.6440034015
1088,7.5697715807,1.6440153715
1103,7.5834579248,1.6440278594
1118,7.5969594791,1.6440400124
1133,7.6102811673,1.6440518437
1148,7.6234277186,1.6440633660
1163,7.6364036784,1.6440745912
1179,7.6500615937,1.6440862500
1195,7.6635354810,1.6440975968
1211,7.6768302335,1.6441086439
1227,7.6899505522,1.6441194029
1244,7.7037048136,1.6441305313
1261,7.7172724592,1.6441413598
1278,7.7306584851,1.6441519003
1295,7.7438676897,1.6441621641
1313,7.7576662982,1.6441727422
1331,7.7712770937,1.6441830342
1349,7.7847051202,1.6441930517
1367,7.7979552215,1.6442028055
1386,7.8117535516,1.6442128263
1405,7.8253640763,1.6442225763
1424,7.8387918394,1.6442320662
1443,7.8520416840,1.6442413062
1463,7.8658017905,1.6442507734
1483,7.8793751236,1.6442599853
1503,7.8927666858,1.6442689521
1523,7.9059812813,1.6442776835
1544,7.9196711947,1.6442866081
1565,7.9331762227,1.6442952933
1586,7.9465012925,1.6443037486
1608,7.9602730277,1.6443123696
1630,7.9738576758,1.6443207581
1652,7.9872602519,1.6443289231
1675,8.0010825869,1.6443372301
1698,8.0147164669,1.6443453121
1721,8.0281669617,1.6443531781
1744,8.0414389392,1.6443608367
1768,8.0551026869,1.6443686159
1792,8.0685822503,1.6443761868
1816,8.0818825292,1.6443835576
1841,8.0955514131,1.6443910313
1866,8.1090359752,1.6443983047
1891,8.1223411206,1.6444053859
1917,8.1359932095,1.6444125545
1943,8.1494614262,1.6444195312
1970,8.1632582723,1.6444265814
1997,8.1768673530,1.6444334411
2024,8.1902937105,1.6444401177
2052,8.2040295161,1.6444468561
2080,8.2175792030,1.6444534132
2108,8.2309477475,1.6444597960
2137,8.2446078748,1.6444662306
2166,8.2580839150,1.6444724929
2196,8.2718361370,1.6444787971
2226,8.2854017981,1.6444849314
2256,8.2987858924,1.6444909027
2287,8.3124304700,1.6444969084
2318,8.3258913765,1.6445027535
2350,8.3395990229,1.6445086255
2382,8.3531213078,1.6445143397
2415,8.3668772560,1.6445200739
2448,8.3804465430,1.6445256535
2482,8.3942370676,1.6445312471
2516,8.4078399977,1.6445366895
2551,8.4216523718,1.6445421405
2586,8.4352765606,1.6445474440
2622,8.4490990112,1.6445527513
2658,8.4627330037,1.6445579149
2695,8.4765546655,1.6445630782
2732,8.4901878905,1.6445681016
2770,8.5039987586,1.6445731212
2808,8.5176214822,1.6445780049
2847,8.5314123654,1.6445828816
2886,8.5450156444,1.6445876265
2926,8.5587781185,1.6445923617
2966,8.5723537553,1.6445969693
3007,8.5860801174,1.6446015648
3048,8.5996206147,1.6446060367
3090,8.6133038384,1.6446104946
3133,8.6271215388,1.6446149349
3176,8.6407509097,1.6446192550
3220,8.6545075749,1.6446235561
3264,8.6680775594,1.6446277412
3309,8.6817680683,1.6446319064
3355,8.6955717382,1.6446360487
3401,8.7091874583,1.6446400789
